RawDataFileName;Duration;Distance;AverageSpeed;ShortestPathDistance;SurplusShortestPath;RatioShortestPath;Successful;Default;TransparentFX;Ignore Raycast;;Water;UI;Wall;Floor;PatientBed;Window;;;;;;;;;;;;;;;;;;;;;;
a;32.313;67.917;2.102;33.917;34.000;2.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.450;0.550;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
b;38.581;67.178;1.741;33.917;33.261;1.981;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.529;0.469;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
c;37.718;76.840;2.037;33.917;42.923;2.266;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.515;0.482;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
d;61.298;122.850;2.004;33.917;88.933;3.622;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.577;0.421;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
e;67.475;148.064;2.194;33.917;114.147;4.365;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.599;0.401;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
f;43.743;76.827;1.756;68.982;7.844;1.114;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.563;0.437;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
g;15.484;27.373;1.768;68.982;-41.609;0.397;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.661;0.339;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
h;28.052;63.380;2.259;68.982;-5.602;0.919;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.438;0.560;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
i;53.801;132.655;2.466;68.982;63.673;1.923;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.460;0.540;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
j;45.991;116.141;2.525;68.982;47.159;1.684;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.387;0.613;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
k;17.781;38.241;2.151;51.968;-13.727;0.736;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.511;0.484;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
l;20.969;48.910;2.332;51.968;-3.058;0.941;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.521;0.479;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
m;68.306;137.755;2.017;51.968;85.787;2.651;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.568;0.430;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
n;70.319;158.473;2.254;51.968;106.505;3.049;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.543;0.455;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
o;60.534;123.871;2.046;51.968;71.903;2.384;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.532;0.468;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
p;10.069;14.238;1.414;32.496;-18.259;0.438;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.579;0.414;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
q;156.138;268.179;1.718;32.496;235.682;8.253;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.520;0.467;0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
r;11.175;17.003;1.522;32.496;-15.493;0.523;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.672;0.319;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
s;76.433;164.378;2.151;32.496;131.881;5.058;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.588;0.377;0.035;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
t;45.819;122.257;2.668;32.496;89.760;3.762;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.485;0.502;0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
